userName,score,at,content
Grace A,1,2024-09-09 02:49:22,Mohon perbaikan aplikasinya tidak dapat digunakan di handphone saya saat mau digunakan loading sedangkan di hanphone yg lain bisa mungkin bisa bantu jawab apakah ada oengaturan khususnya sehingga di hp saya tdk dapat mengakses aplikasi tersebut terima kasih
muhammad ubai,1,2024-10-01 04:04:58,"ini gimana nih, bis nya gak ke tracking, saya nunggu lama banget sampe saya kira libur, untuk location semua sudah nyala, tetap aja gak ke tracking"
Ra LG,3,2024-10-05 05:05:13,"Tolong untuk bus yang sedang tidak beroperasi diberi tanda atau ditampilkan juga di aplikasi, saya nunggu bus yang saya kira sudah dekat, ternyata busnya tidak bergerak karena mogok, jadi cukup membuang waktu"
Putu Gde,5,2024-09-20 00:40:08,"Aplikasinya bagus, ada penanda warna untuk tiap koridor. Tolong dibuatkan juga pilihan menu bahasa Inggris, dan perbanyak media sosialisasi di tempat strategis seperti bandara."
MUH IKBAL,3,2024-08-19 05:33:25,"Tolong aplikasinya diperbaiki, busnya sering tidak sesuai trayeknya dengan yg di lapangan. Bus diaplikasi kadang trayeknya dari A ke B, tp dilapangan malah B ke A. Khususnya teman bus makassar untuk trayek K5."
Aqila Tazkia,3,2024-07-29 09:43:34,"senang terbantu dg apk utk tracking. tapi udah beberapa hari terakhir lemot aksesnya. realtime trackingnya kayanya bermasalah deh. masa bisnya bukan gerak maju tapi mundur. jadi kelihatan bisnya belum lewat, padahal udah lewat, kan jadi ketinggalan bis terus. mohon perbaikan nya ya."
Rizki Amri,5,2024-08-16 06:59:45,"Aplikasi ini sangat membantu dalam pemantauan bis dan letak pemberhentiannya, jadi tidak ketinggalan bus dan tau dalam mengestimasikan waktu, jangan dihilangkan yaa."
Prima,3,2024-08-23 01:58:32,"blum jalan gps tracking ny di balikpapan.. masih tunggu updatenya.. saran kalo bisa, bisa pembayaran dengan e-wallet lebih bagus.."
Irfan Afandi,3,2024-09-17 11:50:49,"Masa jam sama GPS nya gak jalan di aplikasi, teman bus Banyumas khususnya, jadi gak bisa mastiin lewat aplikasi nya min"
sri hadriantiali,1,2024-10-10 01:06:44,"Bug terus gak bisa masuk aplikasinya, saat masuk bakalan loading lama banget gak masuk masuk...."
Inklusi Online,5,2024-07-01 15:42:50,Sudah bagus aplikasinya agar lebih fleksibel dan dapat digunakan oleh disabilitas penglihatan tolong tambahkan menu bus terdekat dan pada setiap koridor bus tombol lihat detail yang muncul di map itu dibuat agar bisa terbaca oleh pembaca layar
M Dre,5,2024-10-06 02:01:23,"Aplikasinya mbantu banget. Gatau apa yang kurang, udah top. Lengkap semua bis ada disini live tracking dan info rutenya✨✨✨✨"
Faiz Anaktoton,1,2024-09-25 04:23:42,"Untuk bis nya enak cuma yang jadi masalah supirnya. Pintu nya macet, dan supirnya teriak naik gocar aja mba kalo ga bisa buka pintu. Tolong ya pelayanannnya ditingkatkan minimal jangan julid."
rezag,1,2024-09-04 11:43:00,"Koneksi selalu gagal membuat pengguna sulit menggunakannya, tolong diperbaiki ya.. trims.."
nurul riska,5,2024-08-06 04:38:50,"Sangat membantuu, aplikasi juga akurat dengan fitur-fitur yang berguna, terutama untuk ""Teman Bus"" mahasiswa hanya dapat tarif 2000, sayangnya di Makassar jalurnya masih terbatas tapi sudah sangat memudahkan perjalanan. Keadaan didalam bus sangat nyaman, bersih, dan ber-AC. Driver bus juga sangat informatif dan membantuu. Semoga kedepannya jalurnya bisa lebih banyak lagii."
Achmad Gazali,5,2024-10-10 17:07:07,Aplikasi yang bermanfaat bagi pengguna angkutan bus. Mantaaapp..bagus..bermafaat..👍
