userName,content,sentiment_label
Grace A,mohon baik aplikasi handphone loading hanphone yg bantu oengaturan hp tdk akses aplikasi terima kasih,negatif
muhammad ubai,gimana nih bis nya gak tracking nunggu banget sampe libur location nyala aja gak tracking,negatif
Ra LG,tolong bus operasi tanda tampil aplikasi nunggu bus bus gerak mogok buang,negatif
Putu Gde,aplikasi bagus tanda warna koridor tolong buat pilih menu bahasa inggris banyak media sosialisasi strategis bandara,positif
MUH IKBAL,tolong aplikasi baik bus sesuai trayek yg lapang bus aplikasi kadang trayek tp lapang teman bus makassar trayek,negatif
Aqila Tazkia,senang bantu dg apk utk tracking udah lot akses realtime trackingnya kaya masalah deh bis gerak maju mundur bis udah tinggal bis mohon baik nya ya,negatif
Rizki Amri,aplikasi bantu pantau bis letak henti tinggal bus tau estimasi hilang yaa,positif
Prima,blum jalan gps tracking ny balikpapan tunggu updatenya saran kalo bayar -wallet bagus,negatif
Irfan Afandi,jam gps nya gak jalan aplikasi teman bus banyumas gak mastiin aplikasi nya min,negatif
sri hadriantiali,bug gak masuk aplikasi masuk loading banget gak masuk masuk,negatif
Inklusi Online,bagus aplikasi fleksibel disabilitas lihat tolong tambah menu bus dekat koridor bus tombol lihat detail muncul map baca baca layar,positif
M Dre,aplikasi mbantu banget gatau udah top lengkap bis live tracking info rute,positif
Faiz Anaktoton,bis nya enak supirnya pintu nya macet supirnya teriak gocar aja mba kalo ga buka pintu tolong ya pelayanannnya tingkat minimal julid,negatif
rezag,koneksi gagal guna sulit guna tolong baik ya trims,negatif
nurul riska,membantuu aplikasi akurat fitur-fitur guna teman bus mahasiswa tarif sayang makassar jalur batas mudah jalan dalam bus nyaman bersih ber-ac driver bus informatif membantuu moga depan jalur lagi,positif
Achmad Gazali,aplikasi manfaat guna angkut bus mantaaappbagusbermafaat,positif
Ageung R,posisi bus suka ubah ya mundur buka rajin update aplikasi,positif
farida Bedu malwi,assallammuallaikum pribadi senang bis kota bantu masyarakat balikpapan pergi aman yaman murah tuju puas banget layan makasih mitra darat,positif
Fatihatul Aflah,bagus lihat posisi bus scr real time cuman error lokasi dadak jalan mohon baik,positif
Giovanni Man,bantu mohon update trayek surabaya fd sier kota trims,positif
