userName,score,at,content
Grace A,1,2024-09-09 02:49:22,mohon baik aplikasi handphone loading hanphone yg bantu oengaturan hp tdk akses aplikasi terima kasih
muhammad ubai,1,2024-10-01 04:04:58,gimana nih bis nya gak tracking nunggu banget sampe libur location nyala aja gak tracking
Ra LG,3,2024-10-05 05:05:13,tolong bus operasi tanda tampil aplikasi nunggu bus bus gerak mogok buang
Putu Gde,5,2024-09-20 00:40:08,aplikasi bagus tanda warna koridor tolong buat pilih menu bahasa inggris banyak media sosialisasi strategis bandara
MUH IKBAL,3,2024-08-19 05:33:25,tolong aplikasi baik bus sesuai trayek yg lapang bus aplikasi kadang trayek tp lapang teman bus makassar trayek
Aqila Tazkia,3,2024-07-29 09:43:34,senang bantu dg apk utk tracking udah lot akses realtime trackingnya kaya masalah deh bis gerak maju mundur bis udah tinggal bis mohon baik nya ya
Rizki Amri,5,2024-08-16 06:59:45,aplikasi bantu pantau bis letak henti tinggal bus tau estimasi hilang yaa
Prima,3,2024-08-23 01:58:32,blum jalan gps tracking ny balikpapan tunggu updatenya saran kalo bayar -wallet bagus
Irfan Afandi,3,2024-09-17 11:50:49,jam gps nya gak jalan aplikasi teman bus banyumas gak mastiin aplikasi nya min
sri hadriantiali,1,2024-10-10 01:06:44,bug gak masuk aplikasi masuk loading banget gak masuk masuk
Inklusi Online,5,2024-07-01 15:42:50,bagus aplikasi fleksibel disabilitas lihat tolong tambah menu bus dekat koridor bus tombol lihat detail muncul map baca baca layar
M Dre,5,2024-10-06 02:01:23,aplikasi mbantu banget gatau udah top lengkap bis live tracking info rute
Faiz Anaktoton,1,2024-09-25 04:23:42,bis nya enak supirnya pintu nya macet supirnya teriak gocar aja mba kalo ga buka pintu tolong ya pelayanannnya tingkat minimal julid
rezag,1,2024-09-04 11:43:00,koneksi gagal guna sulit guna tolong baik ya trims
nurul riska,5,2024-08-06 04:38:50,membantuu aplikasi akurat fitur-fitur guna teman bus mahasiswa tarif sayang makassar jalur batas mudah jalan dalam bus nyaman bersih ber-ac driver bus informatif membantuu moga depan jalur lagi
Achmad Gazali,5,2024-10-10 17:07:07,aplikasi manfaat guna angkut bus mantaaappbagusbermafaat
Ageung R,4,2024-08-16 00:40:57,posisi bus suka ubah ya mundur buka rajin update aplikasi
farida Bedu malwi,5,2024-08-22 09:48:39,assallammuallaikum pribadi senang bis kota bantu masyarakat balikpapan pergi aman yaman murah tuju puas banget layan makasih mitra darat
Fatihatul Aflah,5,2024-09-05 04:39:55,bagus lihat posisi bus scr real time cuman error lokasi dadak jalan mohon baik
Giovanni Man,5,2024-09-29 05:18:10,bantu mohon update trayek surabaya fd sier kota trims
Haidar,5,2024-06-22 10:25:12,aplikasi bagus guna banding aplikasi kelas minim bug tracking sesuai cakup kendara ui nya bagus mudah
Christys Novia Rossyta,5,2024-08-13 00:21:49,bagus apps nya utk yg rute purbaya - tj perak update susah banget ngedetect sampe bus mohon tingkat utk gpsnya mudah
Phiphit Fitriani,2,2024-08-12 10:44:19,mitra darat please deh maintenance aplikasi error posisi mobil akurat ngebug gak buka
Djinaka ST,5,2024-08-04 15:57:42,layan ok sayang daftar tarif khusus biskita bogor kendala data daftar calon yg update online disdukcapil daftar layak tarif khusus mohon perhati biskita cinta masyarakat transportasi
15_Jauharotun Nafisah,5,2024-09-13 13:31:46,harga jangkau akurat layan muas terimakasih layananya
Bayu Tidar,1,2024-08-31 22:24:43,mohon awat aplikasi tingkat error hambat kerja terimakasih
Shimakaze Class,1,2024-09-04 11:51:15,update aplikasi sore jam orang posisi bus malam kewalahan tunggu bus nya
Rabina Tresna,5,2024-09-04 06:01:22,aplikasi akurat tracking bus lokasi halte henti bus
Vivien Novella,5,2024-09-04 15:47:30,saran min teman bus tambahin jam operasional nyaa daerah bandung sampe jam malem karna kadang suka pulang kerjaa minimal jam  min gituu biar slow halte huhu
Ahmad Panji,4,2024-08-16 06:40:08,tolong tingkat fitur lacak bus akap
Rafiq Mizan,5,2024-10-11 14:31:15,aplikasi bagus tampil mudah erti fitur bagus kemas interface rapih ingat datang bus guna terkadang live trackingnya lambat sisa oke
