userName,score,at,content,sentiment_label
Grace A,1,2024-09-09 02:49:22,mohon baik aplikasi handphone loading hanphone yg bantu oengaturan hp tdk akses aplikasi terima kasih,negatif
muhammad ubai,1,2024-10-01 04:04:58,gimana nih bis nya gak tracking nunggu banget sampe libur location nyala aja gak tracking,negatif
Ra LG,3,2024-10-05 05:05:13,tolong bus operasi tanda tampil aplikasi nunggu bus bus gerak mogok buang,negatif
Putu Gde,5,2024-09-20 00:40:08,aplikasi bagus tanda warna koridor tolong buat pilih menu bahasa inggris banyak media sosialisasi strategis bandara,positif
MUH IKBAL,3,2024-08-19 05:33:25,tolong aplikasi baik bus sesuai trayek yg lapang bus aplikasi kadang trayek tp lapang teman bus makassar trayek,negatif
Aqila Tazkia,3,2024-07-29 09:43:34,senang bantu dg apk utk tracking udah lot akses realtime trackingnya kaya masalah deh bis gerak maju mundur bis udah tinggal bis mohon baik nya ya,negatif
Rizki Amri,5,2024-08-16 06:59:45,aplikasi bantu pantau bis letak henti tinggal bus tau estimasi hilang yaa,positif
Prima,3,2024-08-23 01:58:32,blum jalan gps tracking ny balikpapan tunggu updatenya saran kalo bayar -wallet bagus,negatif
Irfan Afandi,3,2024-09-17 11:50:49,jam gps nya gak jalan aplikasi teman bus banyumas gak mastiin aplikasi nya min,negatif
sri hadriantiali,1,2024-10-10 01:06:44,bug gak masuk aplikasi masuk loading banget gak masuk masuk,negatif
Inklusi Online,5,2024-07-01 15:42:50,bagus aplikasi fleksibel disabilitas lihat tolong tambah menu bus dekat koridor bus tombol lihat detail muncul map baca baca layar,positif
M Dre,5,2024-10-06 02:01:23,aplikasi mbantu banget gatau udah top lengkap bis live tracking info rute,positif
Faiz Anaktoton,1,2024-09-25 04:23:42,bis nya enak supirnya pintu nya macet supirnya teriak gocar aja mba kalo ga buka pintu tolong ya pelayanannnya tingkat minimal julid,negatif
rezag,1,2024-09-04 11:43:00,koneksi gagal guna sulit guna tolong baik ya trims,negatif
nurul riska,5,2024-08-06 04:38:50,membantuu aplikasi akurat fitur-fitur guna teman bus mahasiswa tarif sayang makassar jalur batas mudah jalan dalam bus nyaman bersih ber-ac driver bus informatif membantuu moga depan jalur lagi,positif
Achmad Gazali,5,2024-10-10 17:07:07,aplikasi manfaat guna angkut bus mantaaappbagusbermafaat,positif
Ageung R,4,2024-08-16 00:40:57,posisi bus suka ubah ya mundur buka rajin update aplikasi,positif
farida Bedu malwi,5,2024-08-22 09:48:39,assallammuallaikum pribadi senang bis kota bantu masyarakat balikpapan pergi aman yaman murah tuju puas banget layan makasih mitra darat,positif
Fatihatul Aflah,5,2024-09-05 04:39:55,bagus lihat posisi bus scr real time cuman error lokasi dadak jalan mohon baik,positif
Giovanni Man,5,2024-09-29 05:18:10,bantu mohon update trayek surabaya fd sier kota trims,positif
Haidar,5,2024-06-22 10:25:12,aplikasi bagus guna banding aplikasi kelas minim bug tracking sesuai cakup kendara ui nya bagus mudah,positif
Christys Novia Rossyta,5,2024-08-13 00:21:49,bagus apps nya utk yg rute purbaya - tj perak update susah banget ngedetect sampe bus mohon tingkat utk gpsnya mudah,positif
Phiphit Fitriani,2,2024-08-12 10:44:19,mitra darat please deh maintenance aplikasi error posisi mobil akurat ngebug gak buka,negatif
Djinaka ST,5,2024-08-04 15:57:42,layan ok sayang daftar tarif khusus biskita bogor kendala data daftar calon yg update online disdukcapil daftar layak tarif khusus mohon perhati biskita cinta masyarakat transportasi,positif
15_Jauharotun Nafisah,5,2024-09-13 13:31:46,harga jangkau akurat layan muas terimakasih layananya,positif
Bayu Tidar,1,2024-08-31 22:24:43,mohon awat aplikasi tingkat error hambat kerja terimakasih,negatif
Shimakaze Class,1,2024-09-04 11:51:15,update aplikasi sore jam orang posisi bus malam kewalahan tunggu bus nya,negatif
Rabina Tresna,5,2024-09-04 06:01:22,aplikasi akurat tracking bus lokasi halte henti bus,positif
Vivien Novella,5,2024-09-04 15:47:30,saran min teman bus tambahin jam operasional nyaa daerah bandung sampe jam malem karna kadang suka pulang kerjaa minimal jam  min gituu biar slow halte huhu,positif
Ahmad Panji,4,2024-08-16 06:40:08,tolong tingkat fitur lacak bus akap,positif
Rafiq Mizan,5,2024-10-11 14:31:15,aplikasi bagus tampil mudah erti fitur bagus kemas interface rapih ingat datang bus guna terkadang live trackingnya lambat sisa oke,positif
Rohmat Ismail,5,2024-09-22 16:15:47,mudah guna tracking bis terimakasih,positif
Syafitrah alif Raihan,5,2024-06-16 06:47:29,aplikasi bagus membantuk saat bus tolong min kembali suara bell nya saat pas pencet jadwal bus nya overall suka aplikasi tingkat ya min,positif
Erlan Dwi c,5,2024-07-04 04:43:28,kali bst efisien cocok jalan mula bantu fitur mitra darat aplikasi fitur fitur - money dll keren apk kai kini,positif
Mohamad Irwan,4,2024-05-13 03:13:17,coba aplikasi mitra darat kece kir update temen panjang kir aplikasi mitra darat kedaluarsa mohon baik,positif
Ishmah Ulya,5,2024-09-25 05:15:08,aplikasi bagus live tracking nya akurat,positif
H.U.M,5,2024-08-16 02:04:39,aplikasi muantap moga depan fitur cari tuju bus koridor moga sukses,positif
Saya Dary,5,2024-09-26 08:15:08,bagus appnya pantau bus rapid transport,positif
Fjr 99,2,2024-07-22 13:00:25,tolong depan tambah jam datang jadwal karna pnasaran jadwal,negatif
King Ranu,1,2024-05-24 07:05:21,bis nya yg trans semanggi kenjeran - purabaya pp - menit jam kadang pegawai bus yg teman biasa angkut malas mending ga sa ada klo pegawai malas pecat ribet,negatif
Alfredi Alfredi,1,2024-05-15 05:09:52,nda tau fungsi halte henti tunggu halte udah halte tempat ga satu bus singgah,negatif
Ino 46,5,2024-05-12 10:11:41,aplikasi nya bagus lengkap sj utk data kendara yg tampil cek aplikasi,positif
Muhammad Amri Murad,1,2024-06-13 04:51:25,adu direspon aplikasi ramah teman bus makassar singgah ambil tumpang halte batua raya adu tdk direspon ulas bus yg sy tunggu lambai tangan bus tb ii bus dd rf kecewaaaa,negatif
Muchammad Arfian Az-zuhdi,5,2024-09-21 04:30:33,tolong update biskita depok yg hilang halte ,positif
sovia lumbaa,5,2024-09-30 10:05:04,teman bus makassar panakukang galesong layan semogaha bus halte alfamidi jalan andimapaingga barombong tambah hemat mudah akses,positif
Joni AH Sitorus,3,2024-10-09 02:34:03,update fiturnya,negatif
Wiwied Dive,5,2024-10-03 12:13:03,bantu terimakasih mitra darat,positif
zoom8bappeda manado,5,2024-10-07 14:13:30,hallo kota manado sulawesi utara teman bus makassar,positif
The Greatest Diver of All Time,5,2024-05-08 03:04:42,trackingnya update aplikasi susah erti,positif
Sumardi Mawardi,5,2024-09-12 04:00:41,klo metode baca kartu uji kir fitur nfc,positif
Irvan Cahyo,5,2024-08-17 13:58:24,aplikasi luas moga tahan kualitas,positif
Firly Meizo,5,2024-07-12 23:41:42,lumayan nunggu halte koridor menit bis bersih aman nyaman mudah program kembang,positif
Raden Marsha,1,2024-03-25 06:32:00,aplikasi jaring optimal jaring apk lannya fungsi tolong baik susah ni liat halte tracking bus mana,negatif
Salsabilla Diana Putri,3,2024-03-26 00:46:30,overall bagus saran aja tolong tambah nulis rute mana kayak app ojol butuh banget tau bis tuju trs tau halte tau turun halte coba app nya gak nulis rute data halte bus brp gituh sekian terimakasih moga saran terima  ,negatif
